latitude,longitude,Country
33.93911,67.709953,Afghanistan
41.153332,20.168331,Albania
28.033886,1.6596259999999998,Algeria
-14.270972,-170.132217,American Samoa
42.546245,1.601554,Andorra
-11.202692,17.873887,Angola
18.220554,-63.068615,Anguilla
-75.250973,-0.071389,Antarctica
17.060816,-61.79642800000001,Antigua and Barbuda
-38.416097,-63.616672,Argentina
40.069099,45.038189,Armenia
12.52111,-69.968338,Aruba
-25.274398,133.775136,Australia
47.516231,14.550072,Austria
40.143105,47.57692700000001,Azerbaijan
25.03428,-77.39628,Bahamas
25.930414000000006,50.637772,Bahrain
23.684994,90.356331,Bangladesh
13.193887,-59.543198,Barbados
53.709807,27.953389,Belarus
50.503887,4.469936,Belgium
17.189877,-88.49765,Belize
9.30769,2.315834,Benin
32.321384,-64.75737,Bermuda
27.514162,90.433601,Bhutan
-16.290154,-63.588653,Bolivia
43.915886,17.679076000000006,Bosnia and Herzegovina
-22.328474,24.684866,Botswana
-54.423199,3.4131940000000003,Bouvet Island
-14.235004,-51.92528,Brazil
-6.343194,71.87651899999999,British Indian Ocean Territory
18.420695,-64.63996800000001,British Virgin Islands
4.535277,114.727669,Brunei
42.733883,25.48583,Bulgaria
12.238333,-1.561593,Burkina Faso
-3.373056,29.918886,Burundi
12.565679,104.990963,Cambodia
7.369722,12.354722,Cameroon
56.130366,-106.346771,Canada
16.002082,-24.013197,Cape Verde
19.513469,-80.566956,Cayman Islands
6.611111,20.939444,Central African Republic
15.454166,18.732207,Chad
-35.675147,-71.542969,Chile
35.86166,104.195397,China
-10.447525,105.690449,Christmas Island
-12.164165,96.870956,Cocos [Keeling] Islands
4.570868,-74.297333,Colombia
-11.875001,43.872219,Comoros
-4.0383330000000015,21.758664000000003,Congo [DRC]
-0.228021,15.827659,Congo [Republic]
-21.236736,-159.777671,Cook Islands
9.748917,-83.753428,Costa Rica
45.1,15.2,Croatia
21.521757,-77.78116700000002,Cuba
35.126413,33.429859,Cyprus
49.817492,15.472962,Czech Republic
7.539989,-5.54708,Côte d'Ivoire
56.26392,9.501785,Denmark
11.825138,42.590275,Djibouti
15.414999,-61.370976,Dominica
18.735693,-70.162651,Dominican Republic
-1.831239,-78.183406,Ecuador
26.820553000000004,30.802498,Egypt
13.794185,-88.89653,El Salvador
1.6508009999999995,10.267895,Equatorial Guinea
15.179384,39.78233400000001,Eritrea
